codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
204707,PUENTE DEL DIABLO,HLG,AREQUIPA,AREQUIPA,-16.42679,-71.67503,H,REAL,
4722E032,PUENTE DEL DIABLO,EHA,AREQUIPA,AREQUIPA,-16.42665,-71.67507,H,AUTOMATICA,
116082,SAN FRANCISCO,PLU,AREQUIPA,AREQUIPA,-16.38519,-71.49044,M,AUTOMATICA,
47E3B6D0,SAN JOSE DE UZUNA,EMA,AREQUIPA,AREQUIPA,-16.58103,-71.32836,M,AUTOMATICA,
47E27134,SOCOSANI,EHA,AREQUIPA,AREQUIPA,-16.25944,-71.72056,H,AUTOMATICA,
204708,TINGO GRANDE,HLG,AREQUIPA,AREQUIPA,-16.45992,-71.57431,H,REAL,
472EE1AE,TINGO GRANDE,EHA,AREQUIPA,AREQUIPA,-16.45992,-71.57431,H,AUTOMATICA,
116078,TUCTUMPAYA,PLU,AREQUIPA,AREQUIPA,-16.48827,-71.33463,M,AUTOMATICA,
116081,YURA,PLU,AREQUIPA,AREQUIPA,-16.30271,-71.62395,M,AUTOMATICA,
116013,CAMANA,CO,AREQUIPA,CAMANA,-16.64395,-72.70432,M,REAL,
116084,CAMANA,PE,AREQUIPA,CAMANA,-16.64395,-72.70432,M,AUTOMATICA,
204621,HACIENDA PAMPATA,HLG,AREQUIPA,CAMANA,-16.54193,-72.69957,H,REAL,
204504,OCOÑA,HLG,AREQUIPA,CAMANA,-16.427,-73.1145,H,REAL,
472D23BE,OCOÑA,EHMA,AREQUIPA,CAMANA,-16.427,-73.1145,H,AUTOMATICA,
115018,CARAVELI,CO,AREQUIPA,CARAVELI,-15.77568,-73.36259,M,REAL,
100026,CHAPARRA,CO,AREQUIPA,CARAVELI,-15.74765,-73.87089,M,REAL,
115133,LOMAS,CO,AREQUIPA,CARAVELI,-15.57119,-74.8503,M,REAL,
116011,PUNTA ATICO,CO,AREQUIPA,CARAVELI,-16.2317,-73.6964,M,REAL,
115085,ANDAGUA,CO,AREQUIPA,CASTILLA,-15.5009,-72.3551,M,REAL,
116014,APLAO,CO,AREQUIPA,CASTILLA,-16.07288,-72.49226,M,REAL,
115088,AYO,CO,AREQUIPA,CASTILLA,-15.6833,-72.2704,M,DIFERIDO,157313
115087,CHACHAS,CO,AREQUIPA,CASTILLA,-15.5025,-72.2686,M,DIFERIDO,157312
115089,CHOCO,CO,AREQUIPA,CASTILLA,-15.5771,-72.1296,M,REAL,
204617,HUATIAPA,HLG,AREQUIPA,CASTILLA,-16.00806,-72.48355,H,REAL,
214400,HUATIAPA,EHA,AREQUIPA,CASTILLA,-16.00806,-72.48355,H,AUTOMATICA,
115129,MACHAHUAY,CO,AREQUIPA,CASTILLA,-15.65321,-72.50322,M,REAL,
115086,ORCOPAMPA,CO,AREQUIPA,CASTILLA,-15.2639,-72.341,M,REAL,
115021,PAMPACOLCA,CO,AREQUIPA,CASTILLA,-15.7167,-72.5683,M,REAL,
115041,CABANACONDE,CO,AREQUIPA,CAYLLOMA,-15.6226,-71.97409,M,REAL,
115022,CAYLLOMA,CO,AREQUIPA,CAYLLOMA,-15.18882,-71.77019,M,REAL,
115025,CHIVAY,CO,AREQUIPA,CAYLLOMA,-15.64163,-71.60169,M,REAL,
4723D752,CHIVAY,EAMA,AREQUIPA,CAYLLOMA,-15.64163,-71.60169,M,AUTOMATICA,
47E8A60E,COTACOTA,EMA,AREQUIPA,CAYLLOMA,-15.21331,-71.38955,M,AUTOMATICA,
115090,HUAMBO,CO,AREQUIPA,CAYLLOMA,-15.73201,-72.10693,M,REAL,
116058,HUANCA,CO,AREQUIPA,CAYLLOMA,-16.03458,-71.88108,M,REAL,
47E3A5A6,HUANCA,EMA,AREQUIPA,CAYLLOMA,-16.03458,-71.88108,M,AUTOMATICA,
115029,IMATA,CO,AREQUIPA,CAYLLOMA,-15.84266,-71.09062,M,REAL,
47E3834A,IMATA,EMA,AREQUIPA,CAYLLOMA,-15.84266,-71.09062,M,AUTOMATICA,
115092,MADRIGAL,CO,AREQUIPA,CAYLLOMA,-15.60999,-71.80654,M,DIFERIDO,157317
116006,PAMPA DE MAJES,MAP,AREQUIPA,CAYLLOMA,-16.3357,-72.1525,M,REAL,
4729E39A,PAMPA DE MAJES,EMA,AREQUIPA,CAYLLOMA,-16.33565,-72.15266,M,AUTOMATICA,
115126,PILLONES,CO,AREQUIPA,CAYLLOMA,-15.98124,-71.2167,M,DIFERIDO,158208
47E373CE,PILLONES,EMA,AREQUIPA,CAYLLOMA,-15.97861,-71.21333,M,AUTOMATICA,
115101,PORPERA,CO,AREQUIPA,CAYLLOMA,-15.3142,-71.3064,M,DIFERIDO,157329
204604,PUENTE COLGANTE-SIBAYO,HLG,AREQUIPA,CAYLLOMA,-15.4942,-71.4637,H,DIFERIDO,204604
115024,SIBAYO,CO,AREQUIPA,CAYLLOMA,-15.4892,-71.45696,M,REAL,
47265686,SIBAYO,EHA,AREQUIPA,CAYLLOMA,-15.49422,-71.4638,H,AUTOMATICA,
204702,SUMBAY,HLG,AREQUIPA,CAYLLOMA,-15.8412,-71.1146,H,DIFERIDO,204702
472ED434,SUMBAY,EHA,AREQUIPA,CAYLLOMA,-15.81667,-71.11667,H,AUTOMATICA,
115098,TISCO,CO,AREQUIPA,CAYLLOMA,-15.34577,-71.44702,M,DIFERIDO,157325
115078,CHICHAS,CO,AREQUIPA,CONDESUYOS,-15.54811,-72.91831,M,DIFERIDO,157300
115020,CHUQUIBAMBA,CO,AREQUIPA,CONDESUYOS,-15.84602,-72.65065,M,REAL,
115150,COROPUNA,EMA,AREQUIPA,CONDESUYOS,-15.53597,-72.61056,M,AUTOMATICA,
204501,SALAMANCA,HLM,AREQUIPA,CONDESUYOS,-15.5033,-72.8318,H,DIFERIDO,204501
115043,SALAMANCA,CO,AREQUIPA,CONDESUYOS,-15.50294,-72.83202,M,REAL,
114119,VISCA VISCA,EMA,AREQUIPA,CONDESUYOS,-14.7228,-71.9787,M,AUTOMATICA,
115128,YANAQUIHUA,CO,AREQUIPA,CONDESUYOS,-15.77649,-72.87584,M,DIFERIDO,000864
117006,LA HACIENDITA,CO,AREQUIPA,ISLAY,-16.9986,-71.6008,M,DIFERIDO,000838
204905,LA PASCANA,HLG,AREQUIPA,ISLAY,-16.99936,-71.63879,H,REAL,
117005,PAMPA BLANCA,CP,AREQUIPA,ISLAY,-17.0716,-71.7245,M,REAL,
115019,COTAHUASI,CO,AREQUIPA,LA UNION,-15.21134,-72.89325,M,REAL,
47280292,COTAHUASI,EAMA,AREQUIPA,LA UNION,-15.21134,-72.89331,M,AUTOMATICA,
204506,CUYAU,HLM,AREQUIPA,LA UNION,-15.2182,-72.9359,H,DIFERIDO,204508
115151,CUYAU,EHA,AREQUIPA,LA UNION,-15.21794,-72.93564,H,AUTOMATICA,
115084,PULLHUAY (AYAHUASI),CO,AREQUIPA,LA UNION,-15.1459,-72.7439,M,DIFERIDO,157309
115082,PUYCA,CO,AREQUIPA,LA UNION,-15.06055,-72.69262,M,DIFERIDO,157307
4729D600,PAMPA CANGALLO,EMA,AYACUCHO,CANGALLO,-13.56184,-74.19889,M,AUTOMATICA,
113248,SANTA CRUZ DE HOSPICIO,EAMA,AYACUCHO,CANGALLO,-13.4383,-74.7993,M,AUTOMATICA,
113021,LA QUINUA,CO,AYACUCHO,HUAMANGA,-13.05548,-74.14159,M,REAL,
251001,MARCELINO SERNA (PAMPAS),HLG,AYACUCHO,HUAMANGA,-13.43453,-73.82791,H,REAL,
250900,PUENTE PAMPAS GORE APU,EHA,AYACUCHO,HUAMANGA,-13.43493,-73.82737,H,AUTOMATICA,
100127,SAN PEDRO DE CACHI,CO,AYACUCHO,HUAMANGA,-13.08742,-74.39067,M,REAL,
112069,WAYLLAPAMPA,CO,AYACUCHO,HUAMANGA,-13.0765,-74.21651,M,REAL,
100055,HUANCASANCOS,CO,AYACUCHO,HUANCA SANCOS,-13.91694,-74.33361,M,DIFERIDO,156218
112068,HUANTA,CO,AYACUCHO,HUANTA,-12.9113,-74.2832,M,DIFERIDO,000660
114122,CCONTACC,EMA,AYACUCHO,LUCANAS,-14.5423,-74.2642,M,AUTOMATICA,
114055,HUAC-HUAS,CO,AYACUCHO,LUCANAS,-14.1324,-74.941,M,REAL,
