codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
211601,SAN JACINTO,ANCASH,SANTA,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,S/D,S/D,S/D,S/D,0
211601,SAN JACINTO,ANCASH,SANTA,mpas15,temp,20260823,20260921,00Z,D1,3h,S/D,S/D,S/D,S/D,0
113253,CURAHUASI,APURIMAC,ABANCAY,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-4.84,4.859,5.25,0.912,472
113253,CURAHUASI,APURIMAC,ABANCAY,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-5.544,5.544,6.132,0.873,480
113253,CURAHUASI,APURIMAC,ABANCAY,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,-2.838,2.995,3.458,0.902,412
113253,CURAHUASI,APURIMAC,ABANCAY,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,-1.452,2.047,2.645,0.919,472
113253,CURAHUASI,APURIMAC,ABANCAY,mpas15,temp,20260823,20260921,00Z,D1,3h,-6.815,6.815,7.165,0.911,240
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.216,3.369,3.797,0.875,467
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.917,3.923,4.28,0.89,474
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.892,4.034,4.567,0.824,407
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,-3.424,3.467,3.816,0.876,466
47263360,GRANJA SAN ANTONIO,APURIMAC,ABANCAY,mpas15,temp,20260823,20260921,00Z,D1,3h,-4.521,4.526,4.842,0.911,237
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-0.801,2.706,3.255,0.823,469
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,1.005,2.718,3.554,0.799,476
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,3.106,3.501,4.574,0.779,408
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,2.097,3.161,4.129,0.762,468
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,mpas15,temp,20260823,20260921,00Z,D1,3h,-0.585,2.444,2.986,0.853,238
113246,TANCAYLLO,APURIMAC,CHINCHEROS,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,1.773,2.657,3.501,0.821,470
113246,TANCAYLLO,APURIMAC,CHINCHEROS,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,0.26,1.881,2.404,0.832,478
113246,TANCAYLLO,APURIMAC,CHINCHEROS,eta5,temp,20260823,20260921,"00Z,12Z",D1,3h,0.028,2.107,2.521,0.827,410
113246,TANCAYLLO,APURIMAC,CHINCHEROS,wrf5,temp,20260823,20260921,"00Z,12Z",D1,3h,0.766,2.17,2.725,0.822,470
113246,TANCAYLLO,APURIMAC,CHINCHEROS,mpas15,temp,20260823,20260921,00Z,D1,3h,-2.102,2.708,3.55,0.786,239
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,ecmwf,temp,20260823,20260921,"00Z,12Z",D1,3h,-1.219,2.19,2.732,0.844,468
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,gfs,temp,20260823,20260921,"00Z,12Z",D1,3h,0.397,1.564,2.002,0.895,476
