codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.074,0.33,0.733,0.469,221
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.507,0.696,1.394,0.436,169
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.053,0.282,0.663,0.516,195
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.206,0.483,1.337,0.398,220
472B16EA,HUACULLO,APURIMAC,ANTABAMBA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.239,0.482,0.96,0.357,112
113246,TANCAYLLO,APURIMAC,CHINCHEROS,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.668,0.804,1.777,0.476,226
113246,TANCAYLLO,APURIMAC,CHINCHEROS,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.57,0.742,2.019,0.461,172
113246,TANCAYLLO,APURIMAC,CHINCHEROS,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.2,0.323,1.06,0.323,200
113246,TANCAYLLO,APURIMAC,CHINCHEROS,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.336,0.533,1.565,0.396,227
113246,TANCAYLLO,APURIMAC,CHINCHEROS,mpas15,pp,20260822,20260920,00Z,D1,6h,0.628,0.76,1.502,0.417,115
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.452,0.53,1.036,0.418,224
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.285,0.381,0.781,0.456,171
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.039,0.202,0.523,0.351,198
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.231,0.303,0.899,0.429,225
472A1410,CASACCANCHA,APURIMAC,COTABAMBAS,mpas15,pp,20260822,20260920,00Z,D1,6h,0.553,0.66,1.186,0.319,114
116085,AREQUIPA UV,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,2
116085,AREQUIPA UV,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,1
116085,AREQUIPA UV,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,1
116085,AREQUIPA UV,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,2
116085,AREQUIPA UV,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.0,0.0,0.0,S/D,1
47E26242,BOYADERO,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.004,0.004,0.034,S/D,225
47E26242,BOYADERO,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,172
