codigo,estacion,latitud,longitud,2026092000,2026092001
114139,COPARA,-14.975,-74.89056,21.1,20.6
114136,PALPA,-14.54935,-75.18921,21.2,19.9
114140,PAMPA BLANCA,-14.23722,-75.10389,20.8,17.6
213403,LETRAYOC,-13.65773,-75.74496,21.4,19.8
472DF5D6,HUAYTAPALLANA,-11.92717,-75.06186,2.6,2.5
111288,CHACAPALPA,-11.7525,-75.74226,9.7,8.7
111299,POTSOTENI,-11.41316,-74.14723,27.7,25.7
4725C4EA,SATIPO,-11.2247,-74.6087,25.9,24.0
47257764,TARMA,-11.3967,-75.6899,8.1,8.5
472D9030,MARCAPOMACOCHA,-11.40443,-76.32508,1.5,1.8
472D30C8,CASAGRANDE,-7.75031,-79.18869,21.6,21.1
211001,SALINAR,-7.66069,-78.96109,22.6,22.3
472EA2A4,CASCAS,-7.47987,-78.82367,20.8,20.8
47E0A2A8,EL TAMBO,-7.57398,-78.70655,22.2,22.1
472D552E,LUCMA,-7.64333,-78.55135,15.6,14.5
472CC2B6,MARMOT,-7.7635,-78.66725,14.7,14.4
472E5220,PUENTE PALMIRA,-7.54919,-78.81051,23.4,22.9
472D8346,CALLANCAS,-7.7675,-78.47729,19.3,17.6
472EB1D2,CAPACHIQUE,-7.85642,-78.31184,11.2,10.0
107131,LA FORTUNA,-7.67042,-78.40242,8.4,7.8
472E74CC,PUENTE COINA,-7.79636,-78.38012,13.4,12.0
472D60B4,USQUIL,-7.8186,-78.41497,13.4,12.0
107130,TICAPAMPA,-7.91641,-77.90148,11.6,10.8
4727319A,QUIRUVILCA,-8.00419,-78.3079,7.0,6.7
211408,CONDORCERRO,-8.65793,-78.26172,19.2,17.9
47E2F720,TINAJONES,-6.65489,-79.42792,23.7,24.5
106140,VISTA FLORIDA,-6.72775,-79.78088,22.5,22.8
106138,PUCHACA,-6.37353,-79.46673,20.2,19.6
4726F67E,PASABAR,-5.83714,-79.81911,24.8,23.4
47201542,TONGORRAPE,-6.06692,-79.68203,23.6,23.1
4725F170,HUAROS,-11.40744,-76.57584,5.3,5.5
113249,CAÑETE,-13.07475,-76.33042,19.5,18.1
212900,LA CAPILLA SENAMHI,-12.52183,-76.49658,20.8,19.4
472191AC,SOCSI,-13.02825,-76.1945,19.9,17.4
47E323B2,CARAC,-11.19005,-76.77937,12.4,11.8
47E2323E,CUCHUANCA,-11.20158,-76.7881,12.4,11.8
47E330C4,SANTA CRUZ,-11.19827,-76.63487,9.1,8.4
47E214D2,SANTO DOMINGO,-11.37,-77.02833,22.6,20.8
47E257D8,VICHAYCOCHA,-11.13916,-76.62455,5.5,5.2
472D73C2,CASAPALCA,-11.638,-76.23325,1.3,2.0
472CE45A,MATUCANA,-11.83911,-76.378,9.8,9.8
212700,PUENTE ANTAPUCRO,-12.0333,-76.6333,21.1,19.6
212605,SAN MATEO ,-11.76012,-76.30111,6.1,6.1
472EC742,SAN MATEO DE OTAO,-11.847,-76.56359,14.8,13.7
472E24B0,SANTA EULALIA,-11.92,-76.66664,21.6,19.8
472CA750,SANTIAGO DE TUNA,-11.9832,-76.5242,12.2,11.9
4724966C,SAYAN,-11.13472,-77.19833,21.7,20.5
212500,AGUA AZUL BOCATOMA,-11.80778,-76.99766,18.2,18.8
472A218A,ANTONIO RAYMONDI,-11.77606,-77.15139,19.8,19.8
112181,CAMPO DE MARTE,-12.07056,-77.04314,19.9,18.9
111286,CARABAYLLO,-11.90219,-77.03364,19.4,18.5
112278,CERES,-12.02867,-76.92711,18.6,17.5
47278214,CHOSICA,-11.92986,-76.68964,21.9,20.4
112281,LAS PALMAS,-12.15675,-77.01303,19.4,19.2
112193,SAN BORJA,-12.10859,-77.00769,18.9,18.2
112267,SAN JUAN DE LURIGANCHO,-11.98164,-76.99925,18.4,17.7
112265,SAN MARTIN DE PORRES,-12.00889,-77.08447,20.1,19.3
112208,SANTA ANITA,-12.04302,-76.97144,18.6,17.5
472AC278,VON HUMBOLDT,-12.08221,-76.93944,17.8,17.3
111290,ÑAÑA,-11.98744,-76.84194,19.5,18.5
110139,PICOY,-10.92159,-76.73703,13.3,11.5
472364DC,CARANIA,-12.3444,-75.87215,7.9,7.4
104112,SAN REGIS,-4.51301,-73.90751,28.7,27.0
4727547C,CABALLOCOCHA,-3.91125,-70.51206,28.5,26.7
47288486,PEBAS,-3.31791,-71.85962,28.7,27.0
103065,AMAZONAS,-3.76397,-73.25492,28.8,26.8
47252718,ENAPU PERU,-3.72722,-73.23694,28.8,26.8
47287402,CONTAMANA,-7.35254,-75.00632,30.6,28.0
47E8201A,SALVACION,-12.8312,-71.36446,26.3,23.0
472587E0,IÑAPARI,-10.95589,-69.578,29.5,26.9
260403,CACHUELA,-12.60442,-69.18304,31.6,28.9
47E8336C,MALINOWSKY,-12.93411,-69.5175,30.6,28.8
260402,PUENTE HERRERA,-12.61361,-69.19413,31.6,28.9
112279,PUERTO MALDONADO,-12.5873,-69.2088,31.6,28.9
260002,TAMBOPATA,-12.5925,-69.17529,31.6,28.9
4723F1BE,MOQUEGUA,-17.17874,-70.93267,20.7,19.0
110137,12 DE OCTUBRE,-10.60641,-76.52927,7.0,5.9
4725D79C,OXAPAMPA,-10.59417,-75.38417,13.0,11.3
109093,PUERTO BERMUDEZ,-10.28619,-74.94356,27.9,24.6
104114,ALTO DE POCLUS,-4.91691,-79.89052,13.4,12.8
47E9177A,EL CIRUELO,-4.29899,-80.1673,26.4,26.1
47E281B0,HUALCUY,-4.74701,-79.60729,17.4,15.8
472FC5B8,PAIMAS,-4.63439,-79.94581,20.7,19.9
47E0C74E,PUENTE MACARA,-4.39338,-79.96412,26.3,25.0
472FF022,SAPILLICA,-4.79639,-79.99972,17.9,18.2
472F86B2,CANCHAQUE,-5.40055,-79.6052,19.7,17.7
472FE354,HUANCABAMBA,-5.24681,-79.45399,15.4,13.8
472761E6,HUARMACA,-5.56586,-79.52544,19.1,18.0
472FB328,CHALACO,-5.03389,-79.83,18.0,17.2
472F6540,CHULUCANAS,-5.10844,-80.16954,25.6,25.3
47E037CA,CORRAL DEL MEDIO,-5.18871,-79.89148,25.1,24.0
472F50DA,EL VIRREY,-5.53579,-79.98416,21.7,21.5
47E074C0,HACIENDA BARRIOS,-5.2895,-79.69909,25.1,22.8
472F95C4,HACIENDA BIGOTE ,-5.32089,-79.78569,25.8,25.5
472FA05E,MALACASI,-5.33977,-79.85794,24.1,24.0
472F7636,MORROPON,-5.19465,-79.97107,25.7,24.9
47E067B6,SALITRAL,-5.34602,-79.83761,24.1,24.0
47E08444,SAN PEDRO,-5.07954,-80.0162,23.9,23.3
105145,SANTO DOMINGO,-5.03827,-79.87049,18.0,17.2
47E0B1DE,PUENTE SIMON RODRIGUEZ,-4.87999,-81.02038,24.3,24.6
47E0E1A2,BOCATOMA CHIPILLICO,-4.7142,-80.11825,22.8,22.0
47E0F2D4,LAGARTERA,-4.7285,-80.06956,20.4,20.2
105112,MIRAFLORES,-5.17528,-80.61654,24.8,24.6
104113,PARTIDOR,-4.73197,-80.27978,26.3,25.5
105143,SAN MIGUEL,-5.24619,-80.68425,24.9,24.5
47E0522C,TAMBO GRANDE,-4.93848,-80.34703,26.2,26.0
105144,BERNAL,-5.45449,-80.74262,24.2,24.2
105120,CHUSIS,-5.51694,-80.83361,23.9,24.2
47E0D438,ALAMOR,-4.47749,-80.39788,26.5,26.8
