codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
4729658E,SAN PABLO,-13.02506,-72.61988,,,,,,,,,,,,,,,,,,,,
4722A338,ACJANACO ,-13.19672,-71.61941,,,,,,,,,,,,,,,,,,,,
210007,PAUCARTAMBO,-13.3177,-71.59741,,,,,,,,,,,,,,,,,,,,
113247,ASHANAKU,-13.58048,-71.58878,,,,,,,,,,,,,,,,,,,,
113254,QUINCEMIL,-13.2289,-70.7544,,,,,,,,,,,,,,,,,,,,
472A9204,CHILCA,-13.2235,-72.34056,,,,,,,,,,,,,,,,,,,,
4727C11E,HUAYLLABAMBA,-13.26581,-72.44881,,,,,,,,,,,,,,,,,,,,
472935F2,INTIHUATANA H,-13.18517,-72.52319,,,,,,,,,,,,,,,,,,,,
472852EE,INTIHUATANA M,-13.17418,-72.56036,,,,,,,,,,,,,,,,,,,,
472897F0,MACHUPICCHU,-13.16655,-72.54585,,,,,,,,,,,,,,,,,,,,
4729950A,PACAYMAYO,-13.23419,-72.49841,,,,,,,,,,,,,,,,,,,,
113255,URUBAMBA,-13.3052,-72.1246,,,,,,,,,,,,,,,,,,,,
4720CDF8,COCHAMARCA,-12.99,-75.51019,,,,,,,,,,,,,,,,,,,,
47292684,HUACHOS,-13.21667,-75.53333,,,,,,,,,,,,,,,,,,,,
472722EC,HUANCAVELICA,-12.77163,-75.01237,,,,,,,,,,,,,,,,,,,,
47284198,CHALLACA,-13.7898,-75.417,,,,,,,,,,,,,,,,,,,,
472811E4,CHALLACA M,-13.7905,-75.3821,,,,,,,,,,,,,,,,,,,,
4728F216,CORDOVA,-14.03333,-75.16667,,,,,,,,,,,,,,,,,,,,
4728C78C,CUSICANCHA,-13.48333,-75.3,,,,,,,,,,,,,,,,,,,,
213507,RAMADILLAS,-13.80857,-75.50129,,,,,,,,,,,,,,,,,,,,
4729131E,SANTIAGO DE CHOCORVOS,-13.83333,-75.25,,,,,,,,,,,,,,,,,,,,
112269,COCHABAMBA GRANDE,-12.19238,-74.51493,,,,,,,,,,,,,,,,,,,,
110146,QUISCA,-10.08922,-76.21556,,,,,,,,,,,,,,,,,,,,
47E845FC,CACHICOTO,-9.21931,-76.21294,,,,,,,,,,,,,,,,,,,,
4720EB14,SAN MARTIN,-9.40385,-76.76482,,,,,,,,,,,,,,,,,,,,
472D0552,CHINCHAVITO,-9.515,-75.9425,,,,,,,,,,,,,,,,,,,,
472B730C,PUENTE TARUCA,-9.85056,-76.1519,,,,,,,,,,,,,,,,,,,,
110140,JESUS DE LAURICOCHA,-10.07819,-76.63119,,,,,,,,,,,,,,,,,,,,
472DA5AA,PUENTE BELLA,-9.32411,-76.02935,,,,,,,,,,,,,,,,,,,,
47270400,TINGO MARIA,-9.29601,-76.00207,,,,,,,,,,,,,,,,,,,,
4727A4F8,PUERTO INCA,-9.3851,-74.96376,,,,,,,,,,,,,,,,,,,,
109094,PUCA PUCA,-9.87895,-76.5909,,,,,,,,,,,,,,,,,,,,
4728A26A,CONTA M,-13.43936,-75.97517,,,,,,,,,,,,,,,,,,,,
4728B11C,FONAGRO,-13.45944,-76.15167,,,,,,,,,,,,,,,,,,,,
4728E160,SAN PEDRO DE HUACARPANA,-13.04889,-75.64806,,,,,,,,,,,,,,,,,,,,
472A446C,BETA SANTIAGO,-14.23739,-75.67022,,,,,,,,,,,,,,,,,,,,
213503,HUAMANI EL TAMBO,-13.84386,-75.58944,,,,,,,,,,,,,,,,,,,,
213506,LOS MOLINOS,-13.9102,-75.66696,,,,,,,,,,,,,,,,,,,,
114139,COPARA,-14.975,-74.89056,,,,,,,,,,,,,,,,,,,,
114136,PALPA,-14.54935,-75.18921,,,,,,,,,,,,,,,,,,,,
114140,PAMPA BLANCA,-14.23722,-75.10389,,,,,,,,,,,,,,,,,,,,
213403,LETRAYOC,-13.65773,-75.74496,,,,,,,,,,,,,,,,,,,,
472DF5D6,HUAYTAPALLANA,-11.92717,-75.06186,,,,,,,,,,,,,,,,,,,,
111288,CHACAPALPA,-11.7525,-75.74226,,,,,,,,,,,,,,,,,,,,
111299,POTSOTENI,-11.41316,-74.14723,,,,,,,,,,,,,,,,,,,,
4725C4EA,SATIPO,-11.2247,-74.6087,,,,,,,,,,,,,,,,,,,,
47257764,TARMA,-11.3967,-75.6899,,,,,,,,,,,,,,,,,,,,
